,NET2,NET3,NET4,NET5,NET6,NM1,NPN1,NPN2,PM1,PM2,PM3,PM4,PM5,PM6,R1,R2,R3,R4,VDD,VOUT1,VOUT2,VSS
NET2,0,0,0,0,0,M_G,0,B_C,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,B_C,0,M_G,M_DG,M_G,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,B_B,B_B,0,0,0,0,M_D,0,0,0,0,R_C,0,0,0,0
NET5,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET6,0,0,0,0,0,M_D,0,0,0,0,0,M_G,M_G,M_DG,0,0,0,0,0,0,0,0
NM1,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NPN1,0,B_C,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,B_C,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
PM1,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0,0
PM2,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM3,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM4,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_D,0
PM5,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM6,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C
R3,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,R_C,0,0,0,0,0,0,0
VSS,0,0,0,0,0,M_BS,0,B_E,0,0,0,0,0,0,R_C,R_C,R_C,R_C,0,0,0,0
