,NET1,NET2,NM1,NM2,PM1,PM2,PM3,PM4,VCM1,VDD,VOUT1,VOUT2,VSS
NET1,0,0,M_D,0,M_D,M_D,0,0,0,0,0,0,0
NET2,0,0,M_G,M_DG,0,0,M_D,M_D,0,0,0,0,0
NM1,M_D,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,M_D,0,0,0,0,0,0,0,M_G,M_BS,0,0,0
PM2,M_D,0,0,0,0,0,0,0,M_G,M_BS,0,0,0
PM3,0,M_D,0,0,0,0,0,0,0,M_BS,0,M_G,0
PM4,0,M_D,0,0,0,0,0,0,0,M_BS,M_G,0,0
VCM1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,M_G,0,0,0,0,0
VOUT2,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VSS,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0
