,C1,NET1,NET2,NET3,NM1,NM2,NM3,PM1,PM2,PM3,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
NET1,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0
NET3,0,0,0,0,0,M_D,M_G,0,M_D,M_G,0,0,0,0,0
NM1,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM2,0,M_S,0,M_D,0,0,0,0,0,0,0,M_G,0,0,M_B
NM3,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,M_S,0,0,0,0,0,0,0,M_B,0,M_G,M_D,0
PM2,0,0,M_S,M_D,0,0,0,0,0,0,M_B,M_G,0,0,0
PM3,0,0,M_D,M_G,0,0,0,0,0,0,M_BS,0,0,0,0
VDD,0,0,0,0,0,0,0,M_B,M_B,M_BS,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,M_D,0,0,M_D,0,0,0,0,0,0,0
VSS,C_C,0,0,0,M_B,M_B,M_BS,0,0,0,0,0,0,0,0
