,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,R1,R2,R3,R4,R5,R6,VDD,VIN1,VIN2,VIN3,VIN4,VIN5,VOUT1,VOUT2,VSS
NET1,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,M_S,M_S,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM2,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_D,0,M_B
NM3,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM4,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,M_B
NM5,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,M_B
NM6,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,M_B
NM7,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,0,M_B
NM8,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,M_B
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0,0
R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,M_G,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN4,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN5,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,M_D,0,M_D,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,M_D,0,0,M_D,0,M_D,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,M_B,M_B,R_C,R_C,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0
