,L1,L2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,PM1,PM2,PM3,R1,R2,VB1,VDD,VIN1,VOUT1,VSS
L1,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
NET1,0,L_C,0,0,0,0,M_D,M_G,0,0,0,0,R_C,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_G,M_S,M_G,0,0,0,0,R_C,0,0,0,0,0
NET3,0,0,0,0,0,0,0,M_D,0,0,M_G,M_DG,0,0,0,0,0,0,0
NET4,L_C,0,0,0,0,0,0,0,M_D,M_D,M_D,0,0,0,0,0,0,0,0
NM1,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,M_G,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM3,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,M_BS,0,0,0
PM2,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM3,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,R_C,0,0,0,0,0,0
VIN1,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_B,M_BS,0,0,0,0,R_C,0,0,0,0,0
