,IB1,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,R1,R2,R3,R4,R5,R6,VB1,VB2,VDD,VLO1,VLO2,VOUT1,VOUT2,VRF1,VRF2,VSS
IB1,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,M_D,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,M_D,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B
NM2,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM3,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,M_B
NM4,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,M_B
NM5,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,M_B
NM6,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0,0
R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0
R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,M_G,0,M_G,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,M_G,0,M_G,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,M_D,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VRF1,0,0,0,0,M_G,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VRF2,0,0,0,M_G,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
