,C1,C2,IB1,IOUT1,IOUT2,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,R1,R2,R3,R4,VLO1,VLO2,VRF1,VRF2,VSS
C1,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0,0,0,0
NPN1,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,0,B_B,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN4,0,0,0,0,B_C,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NPN5,0,0,0,B_C,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
NPN6,0,0,0,0,B_C,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
NPN7,0,0,0,B_C,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
R1,0,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,B_B,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0
VRF1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRF2,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
