,C1,C2,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,PM3,R1,R2,R3,R4,VB1,VB2,VDD,VLO1,VLO2,VOUT1,VOUT2,VRF1,VRF2,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
NET1,C_C,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,M_D,0,0,M_S,M_S,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,M_D,0,M_S,M_S,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,M_B
NM4,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,M_B
NM5,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,M_B
NM6,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,M_B
PM1,0,0,0,0,M_G,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,0
PM2,0,0,0,0,M_D,M_S,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,0
PM3,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS,0,0,0,0,0,0,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VRF1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRF2,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
