,NET1,NET2,NET3,NM1,NM2,NM3,PM1,PM2,PM3,VB1,VDD,VIN1,VOUT1,VSS
NET1,0,0,0,M_S,0,0,M_S,0,0,0,0,0,0,0
NET2,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0
NM1,M_S,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_B
NM2,0,M_D,0,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM3,0,M_S,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
PM1,M_S,0,0,0,0,0,0,0,0,M_B,0,M_G,M_D,0
PM2,0,0,M_S,0,0,0,0,0,0,M_B,M_G,0,M_D,0
PM3,0,0,M_D,0,0,0,0,0,0,M_BGS,0,0,0,0
VB1,0,0,0,M_G,0,0,M_B,M_B,M_BGS,0,0,0,0,0
VDD,0,0,0,M_D,0,M_G,0,M_G,0,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,M_D,M_D,0,0,0,0,0,0
VSS,0,0,0,M_B,M_BS,M_B,0,0,0,0,0,0,0,0
