,C1,C2,C3,C4,DIO1,DIO2,IB1,L1,L2,L3,L4,NET1,NET2,NET3,NET4,NET5,NET6,NM1,NM2,NM3,PM1,PM2,PM3,PM4,R1,VB1,VCONT1,VCONT2,VCONT3,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C4,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
DIO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N,0,0,0,0,0,D_P,0
DIO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N,0,0,0,0,D_P,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,0,0,R_C,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
NET1,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,R_C,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0,0,0
NET4,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_B
PM1,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,M_D,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_D,M_G,0
PM4,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB1,0,0,0,0,D_N,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_B,M_B,M_BS,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,D_P,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,0,D_P,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0
VSS,0,0,C_C,C_C,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0
