,NET1,NET2,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,VB1,VB2,VB3,VB4,VCONT1,VDD,VOUT1,VOUT2,VSS
NET1,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,M_BS
NM3,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_S,M_B
NM4,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_S,0,M_B
PM1,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0,0
PM2,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_D,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,M_D,0,0
PM4,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_BS,0,M_D,0
VB1,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VB2,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VB4,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0,0
VOUT1,0,0,M_D,0,0,M_S,M_D,0,M_D,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,M_D,M_S,0,0,M_D,0,M_D,0,0,0,0,0,0,0,0,0
VSS,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0
