,C1,C2,C3,C4,L1,L2,L3,L4,L5,L6,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,NM3,NM4,NM5,NM6,PM1,VB1,VB2,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0
NET2,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0
NET3,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,M_G,M_D,0,0,0,0,0,0,0
NET5,0,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,0,0,0,0,0
NET6,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM6,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VB2,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,L_C,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0
