,C1,C2,C3,C4,L1,L2,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,R1,R2,R3,R4,R5,R6,VB1,VDD,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C4,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,B_B,0,0,0,R_C,R_C,0,0,0,0,0
NET3,0,0,0,0,L_C,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,R_C,0,0,0,0
NET4,0,0,0,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0,0,0
NET6,0,0,C_C,0,0,0,0,0,0,0,0,0,B_C,0,R_C,0,0,0,0,0,0,0,0,0
NET7,0,0,0,C_C,0,0,0,0,0,0,0,0,B_BE,0,0,R_C,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,0,B_C,B_BE,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,0,0,0,B_B,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0
R3,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
R4,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
R5,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R6,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VDD,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0,0,0,0,0
VOUT1,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0
