,C1,IB1,L1,L2,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,VB1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET1,C_C,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,M_BS,0,0,0,0,0,0,0,0,0,0
NM1,0,M_DG,0,0,0,M_BS,0,0,0,0,0,0,0,0,0,0,0
NM2,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM4,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM5,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,M_G,0,M_B
NM6,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,M_G,M_B
VB1,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0
VDD,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,L_C,0,0,0,0,0,M_G,M_D,M_G,0,0,0,0,0,0
VOUT2,0,0,0,L_C,0,0,0,0,M_D,M_G,0,M_G,0,0,0,0,0
VSS,0,0,0,0,0,0,0,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0
