,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,PM3,PM4,VCONT1,VDD,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VOUT3,VOUT4,VSS
NM1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_D,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,M_BS
NM5,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_S,0,M_D,M_B
NM6,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_S,0,M_D,0,M_B
PM1,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,M_D,M_G,M_S,0
PM2,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,M_D,0,M_S,M_G,0
PM3,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_G,0,0,0,0,M_D,0
PM4,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,M_G,0,0,M_D,0,0
VCONT1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0
VIN1,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VIN4,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,M_G,M_D,M_D,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,M_D,M_D,M_G,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT3,0,0,0,0,0,M_D,M_G,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0
VOUT4,0,0,0,0,M_D,0,M_S,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0
VSS,M_BS,M_BS,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
