,C1,C2,C3,C4,C5,C6,C7,C8,C9,L1,L2,NET1,NET2,NET3,NET4,NET5,NET6,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,R1,R2,R3,R4,R5,R6,VCONT1,VCONT2,VDD,VOUT1,VOUT2,VOUT3,VOUT4,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,C_C,0
C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0
NET1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_S,M_S,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_S,M_S,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET5,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0
NM2,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0
NM3,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0
NM4,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0
PM1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_G,M_D,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_D,M_G,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,M_D,0,0,0
PM4,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_D,M_G,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R5,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R6,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VCONT1,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,0,0,C_C,0,L_C,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT3,0,0,0,C_C,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,M_G,M_D,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT4,0,0,C_C,0,0,0,0,C_C,0,L_C,0,0,0,0,0,0,0,M_D,M_G,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,R_C,R_C,0,0,0,0,0,0,0,0,0
