,C1,C2,C3,C4,C5,C6,C7,C8,L1,L2,L3,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,PM1,PM2,PM3,PM4,PM5,R1,R2,R3,R4,R5,VB1,VB2,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0
C6,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C7,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_D,0,0,0,0,0,0,0,0,0,0,0
NET4,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET8,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
PM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_B,0,M_G,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_B,M_G,0,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0
PM4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0
PM5,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,M_BS,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0
VOUT2,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,0,0,R_C,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0,0,0,0,0,0,0
