,C1,C2,C3,C4,L1,L2,NET2,NET3,NET4,NET5,NET6,NPN1,NPN2,R1,R2,R3,R4,R5,VDD,VSS
C1,0,0,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0
L1,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C,0
NET2,0,0,C_C,0,L_C,0,0,0,0,0,0,B_C,B_B,0,0,0,R_C,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0
NET4,0,C_C,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0
NET5,0,0,0,C_C,0,L_C,0,0,0,0,0,B_B,B_C,0,0,0,0,R_C,0,0
NET6,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0,0,0
NPN1,0,0,0,0,0,0,B_C,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,0,0,0,B_B,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R5,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,C_C,C_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
