,C1,C2,C3,C4,L1,L2,L3,L4,NET1,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,NM9,VB1,VDD,VOUT1,VOUT2,VOUT3,VOUT4,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
NET1,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,M_S,M_S,M_S,M_S,M_S,M_S,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,M_B
NM3,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_B
NM4,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,M_B
NM5,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_B
NM6,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,M_B
NM7,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM8,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM9,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
VB1,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,L_C,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,L_C,0,0,0,0,0,0,M_G,M_D,M_D,0,0,M_G,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,0,0,L_C,0,0,0,0,M_D,M_D,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0
VOUT3,0,0,C_C,0,0,0,L_C,0,0,0,0,0,M_G,0,M_D,M_D,0,M_G,0,0,0,0,0,0,0
VOUT4,0,0,0,C_C,0,0,0,L_C,0,0,M_G,0,0,0,0,M_G,M_D,M_D,0,0,0,0,0,0,0
VSS,C_C,C_C,C_C,C_C,0,0,0,0,0,M_BS,M_B,M_B,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0
