,C1,C2,C3,C4,IB1,L1,NET1,NET2,NET3,NET4,NM1,NM2,PM1,PM2,R1,R2,VB1,VDD,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0
IB1,C_C,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0
NET1,0,0,C_C,0,0,0,0,0,0,0,M_G,0,0,0,R_C,0,0,0,0
NET2,0,C_C,0,C_C,0,L_C,0,0,0,0,M_D,0,M_D,M_G,0,0,0,0,0
NET3,0,0,C_C,C_C,0,L_C,0,0,0,0,0,M_D,M_G,M_D,0,0,0,0,0
NET4,0,C_C,0,0,0,0,0,0,0,0,0,M_G,0,0,0,R_C,0,0,0
NM1,0,0,0,0,M_S,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,0,M_S,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0
VSS,C_C,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0
