,C1,C2,C3,C4,C5,C6,C7,C8,L1,L2,L3,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,PM1,PM2,VB1,VB2,VCONT1,VCONT2,VCONT3,VDD,VLO1,VLO2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,C_C,0,C_C,0,C_C,0,0,L_C,0,0,0,0,0,M_G,M_G,M_D,M_D,M_G,0,0,0,0,0,0,0,0,0
NET4,0,0,C_C,0,C_C,0,C_C,0,0,0,L_C,0,0,0,0,M_G,0,M_D,M_G,M_G,M_D,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_B
NM2,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_B
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
VB1,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0
VLO1,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0
