,C1,C2,C3,C4,IB1,L1,L2,L3,L4,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,NM4,VDD,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C
L2,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0
NET1,0,C_C,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,M_D,0,0,0,0
NET2,0,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0
NET3,0,0,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,M_D,M_G,0,0
NET4,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,M_G,M_D,0,0
NM1,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_G,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,M_S,M_D,0,M_G,0,0,0,0,0,M_B
NM4,0,0,0,0,0,0,0,0,0,0,M_S,M_G,0,M_D,0,0,0,0,0,M_B
VDD,C_C,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0
VSS,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,0,0
