,IOUT1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,R1,R2,VDD,VSS
IOUT1,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,M_S,M_DG,0,0,0,0
NET2,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0
NET3,0,0,0,0,0,M_G,0,M_D,0,0,R_C,0,0
NET4,0,0,0,0,0,0,0,M_G,0,R_C,R_C,0,0
NM1,M_D,0,M_S,M_G,0,0,0,0,0,0,0,0,M_B
NM2,M_G,0,M_D,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,M_S,0,M_D,M_G,0,0,0,0,0,0,0,M_B
NM4,0,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS
R1,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
R2,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VSS,0,0,0,0,0,M_B,M_BS,M_B,M_BS,0,0,0,0
