,C1,C2,L1,L2,L3,L4,L5,L6,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,R1,R2,VDD,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0
L6,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C,0
NET2,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NET3,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0
NET4,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0
NET5,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0
NET6,0,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0
NET7,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
NET8,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
NET9,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,B_B,B_C,0,0,0,0,B_E,0,0,0,0,0,0
NPN2,0,0,0,0,0,0,0,0,B_B,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0
VSS,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
