,IB1,IB2,IB3,L1,L2,L3,NET1,NET2,NET3,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,VB1,VDD,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,L_C,L_C,0,0,0,0,M_G,0,M_G,M_D,0,M_G,0,0,0,0,0
NET2,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0
NET3,0,0,0,L_C,0,L_C,0,0,0,0,M_G,M_D,M_G,M_G,0,0,0,0,0,0
NM1,0,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,M_D,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,M_DS,0,M_B
NM6,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_DS,0,M_B
PM1,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,M_G,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_BS,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0
VSS,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_B,M_B,0,0,0,0,0
