,C1,L1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,R2,R3,R4,VDD,VSS
C1,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,B_E,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,B_B,0,0,B_E,0,0,0,0,0,R_C,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,B_E,0,0,0,0,0,0
NET8,C_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0
NET9,C_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
NPN1,0,0,B_C,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,B_B,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
NPN4,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
NPN5,0,0,B_E,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0
NPN6,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,B_C,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,B_C,B_C,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,R_C,0,0
