,IB1,L1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,PM1,PM2,VCONT1,VCONT2,VCONT3,VCONT4,VDD,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
L1,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,L_C,0,0,0,0,M_G,0,0,M_S,0,M_G,0,M_G,M_G,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,M_D,0,0,0,0,0,0,0
NET3,0,L_C,0,0,0,0,0,M_G,M_D,0,M_G,0,M_G,0,0,M_G,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0
NM1,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM4,0,0,M_S,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
NM5,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,M_B
NM6,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,M_B
NM7,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,M_B
NM8,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,M_B
PM1,M_S,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0
PM2,M_S,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VCONT4,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
