,C1,C2,C3,C4,L1,L2,NET1,NET2,NET3,NM1,NM2,NM3,NM4,R1,R2,VB1,VB2,VB3,VCONT1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C3,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,R_C,0,0,0,0,0,0,0,0,0
NET2,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET3,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,0,M_BS
NM3,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_B
NM4,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,M_B
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VDD,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,C_C,0,L_C,0,0,0,0,M_D,0,M_DS,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,C_C,0,L_C,0,0,0,0,M_D,0,M_DS,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0
