,C1,C2,L1,L2,L3,L4,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NM1,NM2,NM3,NM4,NM5,NM6,R1,R2,R3,R4,VB1,VB2,VB3,VCONT1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
L1,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET1,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,R_C,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET5,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,M_G,0,0,0,M_D,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S
NM2,0,0,0,0,0,0,M_D,0,0,0,M_G,0,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S
NM3,0,0,0,0,0,0,0,0,0,M_DS,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM4,0,0,0,0,0,0,0,M_G,0,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM5,0,0,0,0,0,0,0,0,M_G,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_B
NM6,0,0,0,0,0,0,0,M_S,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
R4,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0
