,C1,C2,C3,C4,L1,L2,L3,NET1,NET2,NET3,NET4,NM1,PM1,VDD,VSS
C1,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0
L1,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0
NET1,C_C,C_C,0,0,L_C,0,0,0,0,0,0,0,M_G,0,0
NET2,C_C,0,C_C,0,0,L_C,0,0,0,0,0,M_G,0,0,0
NET3,0,C_C,0,C_C,L_C,0,L_C,0,0,0,0,M_D,0,0,0
NET4,0,0,C_C,C_C,0,L_C,L_C,0,0,0,0,0,M_D,0,0
NM1,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,M_BS,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
