,C1,C2,C3,C4,C5,C6,C7,C8,L1,L2,L3,L4,L5,L6,L7,L8,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NM1,NM2,PM1,PM2,VDD,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,C_C
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C
C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0
L7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0
L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,L_C,L_C,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0
NET3,0,0,0,0,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0
NET4,0,0,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0
NET5,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0
NET6,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,C_C,0,C_C,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0
NET8,0,0,0,0,C_C,0,C_C,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,M_G,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,M_G,0,0,0,0,0,M_BS,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,M_BS,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0
VSS,C_C,C_C,C_C,C_C,C_C,C_C,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0
