,C1,C2,C3,C4,IB1,IB2,L1,L2,L3,L4,NET1,NET2,NET3,NM1,NM2,NM3,NM4,NM5,NM6,NM7,VCONT1,VCONT2,VCONT3,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0
IB1,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
L3,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,M_G,M_G,M_D,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0,0
NET3,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM3,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM4,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM5,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM6,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM7,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,M_G,M_D,0,M_D,0,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,M_D,M_G,M_D,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_B,M_B,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0
