,C1,C2,C3,C4,L1,L2,L3,L4,NET1,NET2,NM1,NM2,NM3,NM4,VCONT1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,C_C,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0,0
L1,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C
L2,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
NET1,C_C,0,C_C,0,L_C,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0
NET2,0,C_C,0,C_C,0,L_C,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_S,0,M_D,M_B
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_S,0,M_D,0,M_B
NM3,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM4,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,M_D,M_G,M_B
VCONT1,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,L_C,L_C,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,C_C,0,0,0,L_C,0,0,0,M_D,M_G,M_D,0,0,0,0,0,0,0
VOUT2,0,0,C_C,0,0,0,L_C,0,0,0,M_D,0,M_D,M_G,0,0,0,0,0,0,0
VSS,0,0,0,0,L_C,L_C,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0
