,C1,C2,C3,C4,L1,L2,NET1,NET2,NET3,NET4,NM1,NM2,R1,R2,VCONT1,VCONT2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C
C2,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C
C4,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0
L1,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0
NET1,0,0,0,C_C,0,L_C,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0
NET2,0,C_C,0,0,L_C,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0
NET3,0,0,0,0,L_C,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET4,0,0,0,0,0,L_C,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NM1,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,M_BS
R1,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VSS,C_C,0,C_C,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0
