,C1,C2,L1,L2,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,VDD,VOUT1,VOUT2,VOUT3,VOUT4,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_BS
NM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,M_BS
NM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_BS
NM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,M_BS
NM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_BS
PM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,0,M_D,0,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_G,0,M_D,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_G,M_D,0
PM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_D,M_G,0
PM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_D,M_G,0,0
PM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,M_D,0,0,0
PM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,M_G,0,0,0
PM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0,0,M_G,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0
VOUT1,0,C_C,0,L_C,0,0,M_G,0,0,M_G,M_D,M_D,M_G,0,0,0,0,M_G,M_D,M_D,0,0,0,0,0,0
VOUT2,0,C_C,0,L_C,M_G,0,0,0,M_D,M_D,0,M_G,0,M_G,0,0,M_D,M_D,M_G,0,0,0,0,0,0,0
VOUT3,C_C,0,L_C,0,0,M_G,M_D,M_D,M_G,0,0,0,M_D,0,M_G,M_D,M_G,0,0,0,0,0,0,0,0,0
VOUT4,C_C,0,L_C,0,M_D,M_D,0,M_G,0,0,M_G,0,0,M_D,M_D,M_G,0,0,0,M_G,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
