,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,PM1,PM2,PM3,PM4,VCONT1,VCONT2,VDD,VOUT1,VOUT2,VSS
NET1,0,0,0,0,M_G,M_D,0,M_G,0,M_S,0,M_S,0,M_G,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,M_G,M_D,M_G,0,0,0,M_D,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,M_G,0,M_G,M_D,0,0,M_D,0,0,0,0,0,0,0
NET4,0,0,0,0,M_D,M_G,M_G,0,M_S,0,M_S,0,M_G,0,0,0,0,0,0,0,0,0
NM1,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM4,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM5,0,0,M_G,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_B
NM6,M_S,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_B
NM7,0,M_D,M_G,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM8,M_S,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_B,0,0,0
PM2,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_B,0,0,0
PM3,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0
PM4,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_D,M_D,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0
