,C1,C2,L1,L2,NET1,NET2,NM1,NM2,NM3,PM1,PM2,VB1,VCONT1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0
L1,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0
L2,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,L_C,0
NET1,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,M_D,0,0,0,0,0,M_G,0,0,0,0,M_BS
NM2,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM3,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,M_G,M_D,M_B
PM1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,M_G,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,M_D,0
VB1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VCONT1,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0
VOUT1,C_C,0,L_C,0,0,0,0,M_D,M_G,M_D,M_G,0,0,0,0,0,0
VOUT2,0,C_C,0,L_C,0,0,0,M_G,M_D,M_G,M_D,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_B,M_B,0,0,0,0,0,0,0,0
