,IB1,L1,L2,L3,L4,NET1,NET2,NM1,NM2,PM1,PM2,VCONT1,VOUT1,VOUT2,VSS
IB1,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0
L3,L_C,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L4,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
NET1,0,0,L_C,0,0,0,0,0,0,0,M_G,0,0,0,0
NET2,0,L_C,0,0,0,0,0,0,0,M_G,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_BS
PM1,0,0,0,0,0,0,M_G,0,0,0,0,M_BDS,0,0,0
PM2,0,0,0,0,0,M_G,0,0,0,0,0,M_BDS,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,M_BDS,M_BDS,0,0,0,0
VOUT1,0,0,L_C,0,L_C,0,0,M_G,M_D,0,0,0,0,0,0
VOUT2,0,L_C,0,L_C,0,0,0,M_D,M_G,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0
