,C1,C2,C3,L1,L2,L3,L4,L5,L6,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,PM1,PM2,PM3,PM4,PM5,VB1,VCONT1,VCONT2,VDD,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_G,0,0,0,0,0
NET2,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,M_S,M_S,0,0,M_S,0,0,0,0,0,0,0
NET3,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET7,0,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,M_D,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM2,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
PM1,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B,M_D
PM4,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM5,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_BS,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VCONT1,C_C,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_BS,M_BS,0,0,0,0,0
VSS,C_C,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,M_D,0,0,0,0,0,0,0
