,C1,C2,C3,C4,L1,NET1,NET2,NM1,NM2,NM3,NM4,VB1,VCONT1,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C3,0,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0
C4,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C,0
L1,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0
NET1,0,0,C_C,0,L_C,0,0,M_D,M_G,M_G,M_D,0,0,0
NET2,0,0,0,C_C,L_C,0,0,M_G,M_D,M_D,M_G,0,0,0
NM1,0,0,0,0,0,M_D,M_G,0,0,0,0,M_B,0,M_S
NM2,0,0,0,0,0,M_G,M_D,0,0,0,0,M_B,0,M_S
NM3,0,0,0,0,0,M_G,M_D,0,0,0,0,M_BS,0,0
NM4,0,0,0,0,0,M_D,M_G,0,0,0,0,M_BS,0,0
VB1,C_C,C_C,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0,0
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,0,0,0,M_S,M_S,0,0,0,0,0
