,C1,C2,C3,C4,C5,C6,L1,L2,L3,L4,L5,L6,L7,L8,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NPN1,NPN2,R1,VB1,VCONT1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C,0,0,0,0,0
L7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0
L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET2,0,0,0,C_C,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0
NET4,0,C_C,0,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET6,C_C,0,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
NET7,0,0,C_C,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_E,0,0,0,0,0,0,0,B_C,0
NPN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
