,C1,C2,C3,C4,C5,C6,L1,L2,L3,L4,L5,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NM1,NM2,NM3,PM1,R1,VCONT1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C,0,0,0
NET1,0,0,C_C,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET3,0,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0
NET7,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET8,0,0,0,C_C,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,M_G,M_G,M_D,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_S,0,0,0,M_G,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,M_B,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,C_C,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,0,0,0,0,0,0,0
