,C1,C2,IB1,NET1,NET2,NM1,NM2,PM1,R1,R2,VDD,VIN1,VOUT1,VSS
C1,0,0,0,C_C,0,0,0,0,0,0,C_C,0,0,0
C2,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0,0
IB1,0,0,0,0,0,M_DG,0,0,0,R_C,0,0,0,0
NET1,C_C,0,0,0,0,0,0,M_G,R_C,0,0,0,0,0
NET2,0,C_C,0,0,0,0,M_G,0,0,R_C,0,0,0,0
NM1,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_G,0,0,0,0,0,0,0,M_D,M_BS
PM1,0,0,0,M_G,0,0,0,0,0,0,M_BS,0,M_D,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0
VDD,C_C,0,0,0,0,0,0,M_BS,0,0,0,0,0,0
VIN1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,M_D,M_D,R_C,0,0,0,0,0
VSS,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0
