,C1,IB1,NET1,NET2,NET3,NM1,NM2,NM3,NM4,R1,R2,VB1,VDD,VIN1,VOUT1,VSS
C1,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,M_D,M_G,M_G,0,0,0,0,0,0,0,0
NET1,C_C,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0
NET2,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NM1,0,M_D,0,M_S,0,0,0,0,0,0,0,M_G,0,0,0,M_B
NM2,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,M_S,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
VB1,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,M_B,M_BS,M_BS,M_B,0,0,0,0,0,0,0
