,NET10,NET11,NET12,NET13,NET14,NET15,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NM1,NM10,NM11,NM12,NM2,NM3,NM4,NM5,NM6,NM7,NM8,NM9,PM1,PM10,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PNP1,PNP2,PNP3,PNP4,R1,R2,R3,VB1,VB2,VDD,VOUT1,VSS
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
NET11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,0,0,B_E,0,0,0,0,0,0,0,0
NET12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_E,0,0,0,0,0,0,0,0,0
NET13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,R_C,0,0,0,0,0
NET14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,0,0,M_G,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,M_DG,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_G,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
