,C1,C2,IB1,NET1,NET2,NM1,NM2,PM1,PM2,R1,R2,VDD,VIN1,VIN2,VOUT,VOUT1,VOUT2,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0,0,0,0,0,0
C2,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0
IB1,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0
NET1,0,C_C,0,0,0,0,0,M_G,0,0,R_C,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,0,M_G,R_C,0,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM2,0,0,M_S,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,M_B
PM1,0,0,0,M_G,0,0,0,0,0,0,0,M_BS,0,0,0,M_D,0,0
PM2,0,0,0,0,M_G,0,0,0,0,0,0,M_BS,0,0,0,0,M_D,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VDD,C_C,C_C,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VOUT,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,M_D,M_D,0,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,M_D,0,0,M_D,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0
