,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,PM3,PM4,PM5,PM6,R1,R2,VDD,VIN1,VIN2,VOUT1,VSS
NET1,0,0,0,0,0,0,M_D,0,0,M_D,0,M_G,M_DG,M_G,M_DG,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,M_D,M_S,R_C,0,0,0,0,0,0
NM1,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM2,M_D,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM3,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM6,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_D,0
PM2,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM3,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM4,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM5,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM6,0,0,M_DG,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_B,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,M_B,M_B,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,R_C,0,0,0,0,0
