,C1,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,NM3,NM4,NM5,PM1,PM2,PM3,PM4,PM5,R1,R2,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
NET1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,R_C,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,M_G,0,0,M_DG,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET6,C_C,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,0,M_S,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_D,0
PM2,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM3,0,0,0,0,M_S,0,M_D,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0
PM4,0,0,0,0,M_S,M_D,0,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0
PM5,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,M_BS,0,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,0,M_D,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_B,0,0,0,0,0,R_C,0,0,0,0,0,0
