,NET1,NET2,NM1,NM2,NM3,NM4,R1,R2,R3,VB1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
NET1,0,0,0,M_S,0,M_D,R_C,0,0,0,0,0,0,0,0,0
NET2,0,0,M_S,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0
NM1,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM2,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM3,0,M_D,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM4,M_D,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
R1,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
VB1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
VIN1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VSS,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0
