,IB1,IB2,NET1,NET2,NM1,NM2,PM1,PM2,R1,R2,R3,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0
IB2,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,M_S,0,M_D,0,R_C,R_C,0,0,0,0
NET2,0,0,0,0,M_S,0,M_D,0,R_C,0,R_C,0,0,0,0
NM1,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,M_G,M_B
NM2,M_D,0,M_S,0,0,0,0,0,0,0,0,0,M_G,0,M_B
PM1,0,M_G,0,M_D,0,0,0,0,0,0,0,M_BS,0,0,0
PM2,M_G,0,M_D,0,0,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,0,0,R_C,R_C,0,0,0,0,0
