,C1,NET1,NET2,NM1,PM1,R1,R2,R3,VB1,VDD,VIN1,VOUT1,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
NET1,0,0,0,M_G,0,0,R_C,R_C,0,0,0,0,0
NET2,C_C,0,0,0,0,R_C,R_C,0,0,0,0,0,0
NM1,0,M_G,0,0,0,0,0,0,0,0,0,M_D,M_BS
PM1,0,0,0,0,0,0,0,0,M_G,M_BS,0,M_D,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0
R2,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
R3,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0
VB1,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VDD,0,0,0,0,M_BS,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VOUT1,0,0,0,M_D,M_D,R_C,0,0,0,0,0,0,0
VSS,C_C,0,0,M_BS,0,0,0,0,0,0,0,0,0
