,IB1,IB2,NET1,NM1,NM2,NM3,PM1,R1,VB1,VDD,VIN1,VOUT1,VSS
IB1,0,0,0,M_S,0,0,M_D,0,0,0,0,0,0
IB2,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0
NET1,0,0,0,0,M_D,M_S,M_G,0,0,0,0,0,0
NM1,M_S,M_D,0,0,0,0,0,0,M_G,0,0,0,M_B
NM2,0,0,M_D,0,0,0,0,0,0,0,M_G,0,M_BS
NM3,0,M_G,M_S,0,0,0,0,0,0,0,0,M_D,M_B
PM1,M_D,0,M_G,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
VB1,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_BS,R_C,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0
VSS,0,0,0,M_B,M_BS,M_B,0,0,0,0,0,0,0
