,IB1,IB2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,PM3,PM4,R1,R2,VB1,VB2,VB3,VB4,VCM1,VDD,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_BS
NM2,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_BS
NM3,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_D,0,M_B
NM4,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_D,M_B
NM5,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,M_B
NM6,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,M_B
PM1,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B,M_D,0,0
PM2,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B,0,M_D,0
PM3,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0,0,0
PM4,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0,0,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
R2,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VB1,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VB4,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,M_D,M_D,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,M_D,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
