,IB1,IB2,IIN1,NET1,NM1,NM2,NM3,NM4,PM1,VDD,VOUT1,VOUT2,VSS
IB1,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0
IIN1,0,0,0,0,0,M_D,M_D,0,M_DG,0,0,0,0
NET1,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0
NM1,M_S,0,0,0,0,0,0,0,0,M_D,M_G,0,M_B
NM2,M_S,0,M_D,M_G,0,0,0,0,0,0,0,0,M_B
NM3,0,M_S,M_D,M_G,0,0,0,0,0,0,0,0,M_B
NM4,0,M_S,0,0,0,0,0,0,0,M_D,0,M_G,M_B
PM1,0,0,M_DG,0,0,0,0,0,0,M_BS,0,0,0
VDD,0,0,0,0,M_D,0,0,M_D,M_BS,0,0,0,0
VOUT1,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,M_G,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0
