,C1,C2,IB1,NET1,NET2,NM1,NM2,PM1,PM2,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C
IB1,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
NET1,0,0,0,0,0,0,M_D,M_DG,M_G,0,0,0,0
NET2,C_C,C_C,0,0,0,M_G,0,0,0,0,0,0,0
NM1,0,0,M_S,0,M_G,0,0,0,0,0,0,M_D,M_B
NM2,0,0,M_S,M_D,0,0,0,0,0,0,M_G,0,M_B
PM1,0,0,0,M_DG,0,0,0,0,0,M_BS,0,0,0
PM2,0,0,0,M_G,0,0,0,0,0,M_BS,0,M_D,0
VDD,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0
VIN1,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,M_D,0,0,M_D,0,0,0,0
VSS,0,C_C,0,0,0,M_B,M_B,0,0,0,0,0,0
