,IB1,IB2,NET1,NET2,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,PM5,PM6,VB1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,M_S,0,M_S,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,M_D,M_G,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_G,M_D,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM3,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM4,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
PM1,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,M_G,M_D,0,0
PM2,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,0,0,M_D,0
PM3,M_S,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_B,0,M_G,0,0,0
PM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS,0,0,0,M_D,0
PM5,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,0,0,0,0
PM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS,0,0,M_D,0,0
VB1,0,0,0,0,0,M_G,M_G,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_BS,M_B,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,M_D,0,0,0,0,0,0,0
VOUT2,0,0,0,0,M_D,0,0,0,0,M_D,0,M_D,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0
