,C1,C2,C3,NET1,NET2,PM1,R1,R2,R3,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0
C2,0,0,0,C_C,0,0,0,0,0,C_C,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
NET1,0,C_C,0,0,0,M_G,R_C,0,R_C,0,0,0,0
NET2,C_C,0,0,0,0,0,R_C,0,0,0,0,0,0
PM1,0,0,0,M_G,0,0,0,0,0,M_BS,0,M_D,0
R1,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R3,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0
VDD,0,C_C,0,0,0,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VOUT1,C_C,0,C_C,0,0,M_D,0,R_C,0,0,0,0,0
VSS,0,0,C_C,0,0,0,0,R_C,0,0,0,0,0
