,C1,C2,C3,IB1,NET1,NET2,NM1,PM1,PM2,PM3,PM4,VB1,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
C2,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0
IB1,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0
NET1,0,C_C,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_DG,M_S,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_BS
PM1,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,M_D,0
PM2,0,0,0,0,0,M_DG,0,0,0,0,0,0,M_BS,0,0,0
PM3,0,0,0,M_DG,0,M_S,0,0,0,0,0,0,M_B,0,0,0
PM4,0,0,0,M_G,M_D,0,0,0,0,0,0,0,M_B,M_S,0,0
VB1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VDD,0,0,C_C,0,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0
VIN1,0,0,C_C,0,0,0,0,M_G,0,0,M_S,0,0,0,0,0
VOUT1,C_C,C_C,0,0,0,0,M_D,M_D,0,0,0,0,0,0,0,0
VSS,C_C,0,0,0,0,0,M_BS,0,0,0,0,0,0,0,0,0
