,C1,C2,C3,IIN1,NET1,NM1,NM2,R1,R2,R3,VDD,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C
C2,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
IIN1,0,C_C,0,0,0,M_G,0,0,R_C,0,0,0,0
NET1,C_C,0,0,0,0,M_D,M_G,R_C,0,0,0,0,0
NM1,0,0,0,M_G,M_D,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_G,0,0,0,0,0,M_D,M_S,M_B
R1,0,0,0,0,R_C,0,0,0,0,0,R_C,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VDD,0,0,0,0,0,0,M_D,R_C,0,0,0,0,0
VOUT1,0,0,C_C,0,0,0,M_S,0,R_C,R_C,0,0,0
VSS,C_C,C_C,C_C,0,0,M_BS,M_B,0,0,R_C,0,0,0
