,C1,C2,IB1,NET1,NM1,NM2,NM3,PM1,R1,VB1,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
IB1,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
NET1,C_C,0,0,0,M_D,0,M_G,M_D,0,0,0,0,0,0,0
NM1,0,0,M_S,M_D,0,0,0,0,0,0,0,0,M_G,0,M_B
NM2,0,0,M_S,0,0,0,0,0,0,0,M_D,M_G,0,0,M_B
NM3,0,0,0,M_G,0,0,0,0,0,0,M_D,0,0,M_S,M_B
PM1,0,0,0,M_D,0,0,0,0,0,M_G,M_BS,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,M_D,M_D,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,0,M_S,0,R_C,0,0,0,0,0,0
VSS,C_C,C_C,0,0,M_B,M_B,M_B,0,R_C,0,0,0,0,0,0
