,IB1,IOUT1,IOUT2,NET1,NET2,NM1,NM2,NM3,NM4,R1,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,M_G,M_G,0,R_C,0,0,0
IOUT1,0,0,0,0,0,M_D,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,M_D,0,0,0,0
NET1,0,0,0,0,0,M_S,M_D,0,M_S,0,0,0,0
NET2,0,0,0,0,0,0,0,M_D,0,R_C,0,0,0
NM1,0,M_D,0,M_S,0,0,0,0,0,0,M_G,0,M_B
NM2,M_G,0,0,M_D,0,0,0,0,0,0,0,0,M_BS
NM3,M_G,0,0,0,M_D,0,0,0,0,0,0,0,M_BS
NM4,0,0,M_D,M_S,0,0,0,0,0,0,0,M_G,M_B
R1,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,M_G,0,0,0,0
VSS,0,0,0,0,0,M_B,M_BS,M_BS,M_B,0,0,0,0
