,IOUT1,IOUT2,NET1,NET2,NET3,NET4,NET5,NET6,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,R1,R2,VDD,VSS
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_G,0,M_DG,M_G,0,M_G,M_G,0,0,R_C,0,0
NET3,0,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,M_G,R_C,0,0,0
PM1,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,M_D,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,0,M_DG,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0
PM4,0,0,M_S,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_B,0
PM5,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM6,M_D,0,0,M_G,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_B,0
PM7,0,M_D,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0
PM8,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,M_BS,M_B,M_B,M_BS,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0
