,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NM1,NM2,PM1,PM2,PM3,PM4,PNP1,PNP2,PNP3,PNP4,R1,VDD,VSS
NET2,0,0,0,0,0,0,0,0,M_S,0,0,0,0,B_E,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,B_E,0,B_B,0,0,0
NET4,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,R_C,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,R_C,0,0
NET6,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,M_D,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,M_D,0,0,0,B_B,0,B_E,0,0,0,0
NET8,0,0,0,0,0,0,0,0,M_D,M_G,M_DG,M_G,M_G,0,0,0,0,0,0,0
NM1,0,0,M_S,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,M_S,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,M_D,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM4,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PNP1,B_E,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
PNP2,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP3,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP4,0,B_B,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
R1,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,B_C,B_BC,B_BC,B_C,0,0,0
