,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,NM4,PM1,PM2,R1,R2,R3,VDD,VSS
NET1,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,R_C,0,0
NET2,0,0,0,0,0,M_DG,M_G,0,0,M_D,0,0,0,0,0,0
NET3,0,0,0,0,0,0,M_D,M_D,0,M_G,M_DG,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,M_G,0,0,0,R_C,R_C,0,0
NET5,0,0,0,0,0,0,M_S,0,0,0,0,R_C,0,0,0,0
NM1,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,M_G,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,M_B
NM3,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0
R3,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,M_BS,M_BS,0,R_C,0,0,0
VSS,0,0,0,0,0,M_BS,M_B,M_BS,M_BS,0,0,R_C,0,0,0,0
